아이구주 ELPIS SP-700GX 80PLUS Standard 230V EU,700,55500,ATX 파워/700W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/58A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/대기전력 1W/플랫케이블/80 PLUS/스탠다드/깊이:157mm
시소닉 FOCUS PLUS Gold SSR-750FX Full Modular,750,133520,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/골드/깊이:140mm/무상 10년
ABKO SUITMASTER Mighty 500W 80PLUS Standard 230V EU,500,42000,ATX 파워/500W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/38A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/대기전력 1W/플랫케이블/80 PLUS/스탠다드/깊이:140mm/무상 6년
쿨러마스터 MWE GOLD 750 FULL MODULAR,750,97000,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62.5A/4핀 IDE x6/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/골드/깊이:160mm/무상 5년
시소닉 FOCUS PLUS Gold SSR-650FX Full Modular,650,119000,ATX 파워/650W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/골드/깊이:140mm/무상 10년
쿨러마스터 Elite V3 230V 500W,500,33100,ATX 파워/500W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/38A/4핀 IDE x3/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/깊이:140mm/무상 3년
시소닉 FOCUS PLUS Platinum SSR-750PX Full Modular,750,185330,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/플레티넘/깊이:140mm/무상 10년
쿨러마스터 MWE 500W 80PLUS Standard 230V EU,500,40500,ATX 파워/정격 500W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/38A/4핀 IDE x3/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/스탠다드/깊이:140mm/무상 5년
시소닉 FOCUS PLUS Gold SSR-1000FX Full Modular,1000,192000,ATX 파워/1000W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/83A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/골드/깊이:140mm/무상 10년
아이구주 ELPIS SP-600EL,600,36900,"ATX 파워/정격 600W/20핀+4핀/120mm 팬/1개(팬)/+12V 다중레일/28A, 28A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/Reform 케이블/대기전력 1W/무상 3년"
시소닉 FOCUS PLUS Platinum SSR-850PX Full Modular,850,208390,ATX 파워/850W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/70A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/플레티넘/깊이:140mm/무상 10년
