이엠텍 XENON 지포스 GTX1050 STORM X Nano D5 2GB,4611,75,PCle3.0x16,138900,"지포스 GTX1050/14nm/1354 MHz,부스트 1455MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/전원부: 3페이즈/1개 팬/166mm/2018년 4월 5일 출고분부터 GPU 코어 클럭 1354MHz로 변경"
GIGABYTE 지포스 GTX1060 UDV D5 6GB 윈드포스,9010,120,PCle3.0x16,319300,"지포스 GTX1060/16nm/1556 MHz,부스트 1771MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 400W 이상/전원부: 5페이즈/2개 팬/223mm"
MSI 지포스 RTX 2080 게이밍 X 트리오 D6 8GB 트라이프로져,15547,260,PCle3.0x16,1132300,"지포스 RTX 2080/12nm/1515 MHz,부스트 1860MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/7000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 260W/정격파워 650W/전원부: 12페이즈/3개 팬/327mm/백플레이트/LED 라이트/MYSTIC LIGHT"
GIGABYTE AORUS Xtreme 지포스 RTX 2080 D6 8GB,15447,260,PCle3.0x16,1218600,지포스 RTX 2080/12nm/부스트 1890MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14140MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W/전원부: 12+2페이즈/3개 팬/290mm/백플레이트/LED 라이트/RGB FUSION
GIGABYTE 지포스 RTX 2080 Ti Gaming D6 11GB,17450,300,PCle3.0x16,1659700,"지포스 RTX 2080 Ti/12nm/1650 MHz,부스트 1665MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W/전원부: 13+3페이즈/3개 팬/287mm/백플레이트/LED 라이트/RGB FUSION"
이엠텍 XENON 지포스 GTX1070 Ti STORM X Dual D5 8GB,12158,180,PCle3.0x16,567600,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/2개 팬/250mm"
이엠텍 HV 지포스 GTX1060 WHITE MONSTER OC D5 3GB,8931,120,PCle3.0x16,261700,"지포스 GTX1060/16nm/1594 MHz, 부스트 1809MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/248mm/백플레이트/LED 라이트"
MSI 지포스 GTX1070 아머 OC D5 8GB,11209,150,PCle3.0x16,493400,"지포스 GTX1070/16nm/1556 MHz,부스트 1746MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 8페이즈/2개 팬/279mm"
갤럭시 GALAX 지포스 GTX1080 Ti DURAPRO EXOC D5X 11GB,14097,250,PCle3.0x16,1065000,"지포스 GTX1080 Ti/16nm/1531 MHz,부스트 1645MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11010MHz/11GB/352-bit/HDMI/DP/최대 모니터 4개/최대 250W/정격파워 600W 이상/전원부: 7+2페이즈/2개 팬/278mm/백플레이트/LED 라이트"
MSI 지포스 GTX1050 OC D5 2GB 스톰,4611,75,PCle3.0x16,130800,"지포스 GTX1050/14nm/1404 MHz,부스트 1518MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/1개 팬/177mm"
MSI 라데온 RX 580 아머 OC D5 8GB,6494,185,PCle3.0x16,267800,라데온 RX 580/14nm/1366MHz/2304개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/최대 185W/정격파워 500W 이상/2개 팬/269mm
MSI 지포스 GTX1060 게이밍 X D5 6GB 트윈프로져6,9010,120,PCle3.0x16,355200,"지포스 GTX1060/16nm/1594 MHz,부스트 1809MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8108MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 6페이즈/2개 팬/277mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1050 Ti OC D5 4GB 윈드스톰,5950,75,PCle3.0x16,178700,"지포스 GTX1050 Ti/14nm/1341 MHz,부스트 1455MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/2개 팬/215mm"
이엠텍 XENON 지포스 RTX 2070 TURBO JET OC D6 8GB,13756,220,PCle3.0x16,785000,"지포스 RTX 2070/12nm/1410MHz,부스트 1725MHz/2304개/PCIe3.0x16/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 3개/최대 220W/정격파워 550W 이상/2개 팬/292mm"
MSI 지포스 RTX 2080 Ti 게이밍 X 트리오 D6 11GB 트라이프로져,17450,300,PCle3.0x16,2499990,"지포스 RTX 2080 Ti/12nm/1350 MHz,부스트 1755MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/7000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 300W/정격파워 650W/전원부: 17페이즈/3개 팬/327mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1070 Ti 아머 D5 8GB,12158,180,PCle3.0x16,561400,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/2개 팬/279mm"
