Seagate 4TB BarraCuda ST4000DM004 (SATA3/5400/256M),4000,117300,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/5,400RPM/메모리 256MB/두께:20.2mm/소음(유휴/탐색): 22/24dB /2년/다층 캐싱 기술(MTC Technology)/무게: 최대 490g
Seagate 2TB BarraCuda ST2000DM008 (SATA3/7200/256M),2000,71400,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:20.2mm/2년/무게 : 최대 490g
Seagate 3TB BarraCuda ST3000DM007 (SATA3/5400/256M),3000,93300,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/두께:20.2mm/소음(유휴/탐색): 22/24dB /2년/다층캐싱(MTC)/무게: 490g
Seagate 8TB BarraCuda ST8000DM004 (SATA3/5400/256M),8000,275000,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/두께:26.11mm/소음(유휴/탐색): 23/25dB /2년/다층캐싱(MTC)/무게: 630g
Seagate 14TB BarraCuda Pro ST14000DM001 (SATA3/7200/256M),14000,800000,HDD (PC용)/8.9cm (3.5형)/14TB /SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26.11mm/헬륨충전/저전력/데이터 복구 2년/5년/다층캐싱기술/워크로드 300TB/무게: 최대 705g
Seagate 4TB BarraCuda Pro ST4000DM006 (SATA3/7200/128M),4000,227800,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26mm/소음(유휴/탐색): 28/32dB /데이터 복구 2년/5년/무게: 최대 780g
Seagate 10TB BarraCuda Pro ST10000DM0004 (SATA3/7200/256M),10000,490000,HDD (PC용)/8.9cm (3.5형)/10TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/헬륨충전/소음(유휴/탐색): 28/32dB /데이터 복구 2년/5년/무게: 최대 650g
Seagate 6TB BarraCuda Pro ST6000DM004 (SATA3/7200/256M),6000,310800,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26mm/소음(유휴/탐색): 24/27dB /데이터 복구 2년/5년/무게: 최대 780g
Seagate 2TB BarraCuda Pro ST2000DM009 (SATA3/7200/128M),2000,156900,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26mm/소음(유휴/탐색): 28/32dB /데이터 복구 2년/5년/무게: 최대 780g
Seagate 3TB BarraCuda ST3000DM008 (SATA3/7200/64M),3000,596710,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 24/26dB /2년/무게: 최대 626g
Seagate 6TB BarraCuda ST6000DM003 (SATA3/5400/256M),6000,229000,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/두께:26.11mm/소음(유휴/탐색): 23/25dB /2년/다층캐싱(MTC)/무게: 610g
Seagate 500GB BarraCuda ST500DM002 (SATA3/7200/16M),500,48500,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/두께:20mm/2년
Seagate 8TB BarraCuda Pro ST8000DM0004 (SATA3/7200/256M),8000,420000,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26mm/소음(유휴/탐색): 28/32dB /데이터 복구 2년/5년/무게: 최대 650g
Seagate 500GB BarraCuda ST500DM009 (SATA3/7200/32M),500,51040,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3 (6Gb/s)/7,200RPM/메모리 32MB/두께:20mm/소음(유휴/탐색): 22/23dB /2년/무게: 최대 400g
Seagate 8TB BarraCuda Pro ST8000DM005 (SATA3/7200/256M),8000,434910,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26mm/데이터 복구 2년/5년/무게: 최대 780g
Seagate 8TB Surveillance HDD ST8000VX0002 (SATA3/7200/256M),8000,339000,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3(6Gb/s)/7,200RPM/메모리 256MB/두께:26.1mm/RV센서/3년/RAID지원/Quick time-ready환경/16개 드라이브 및 32개 카메라지원/Archive Backup storage 시스템 최적화
Seagate 4TB BarraCuda ST4000DM005 (SATA3/5900/64M),4000,196990,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/5,900RPM/메모리 64MB/두께:26.1mm/2년/무게: 최대 610g
Seagate 4TB Desktop HDD.15 ST4000DM000 (SATA3/5900/64M),4000,195540,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3(6Gb/s)/5,900RPM/메모리 64MB/두께:26.1mm/2년/610g
Seagate 1TB BarraCuda 7200.12 ST31000524AS (SATA3/7200/32M),1000,148600,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm/3년
Seagate 6TB Desktop HDD ST6000DM001 (SATA3/7200/128M),6000,384560,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3(6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/2년/34만 트랙 수/75 나노미터 트랙폭/AcuTrac 데이터탐색 기술/DiskWizard 설치 지원/대용량 빅데이터 장비 적합/UHD급 영상저장장비 적합
Seagate 2TB BarraCuda Green ST2000DL003 (SATA3/5900/64M),2000,105000,HDD (PC용)/8.9cm (3.5형)/2TB 이상/SATA3(6Gb/s)/5,900RPM/메모리 64MB/두께:26.1mm/저전력
Seagate 500GB BarraCuda ST500DM002 (SATA3/7200/16M/비품),500,44630,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/2년
Seagate 1TB Constellation ES ST1000NM0011 (SATA3/7200/64M),1000,197990,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/3년
Seagate 250GB BarraCuda 7200.12 ST3250312AS (SATA3/7200/8M/슬림),250,74270,HDD (PC용)/8.9cm (3.5형)/250GB/SATA3(6Gb/s)/7,200RPM/메모리 8MB/두께:20mm
Seagate 500GB BarraCuda 7200.12 ST3500413AS (SATA3/7200/16M),500,55000,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/두께:20mm/1년
Seagate 500GB Constellation ES ST500NM0011 (SATA3/7200/64M),500,197990,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/3년
Seagate 160GB BarraCuda 7200.12 ST3160316AS (SATA3/7200/8M),160,78000,HDD (PC용)/8.9cm (3.5형)/160GB/SATA3(6Gb/s)/7,200RPM/메모리 8MB/두께:20mm
Seagate 3TB BarraCuda XT ST33000651AS (SATA3/7200/64M),3000,257720,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/3년
Seagate 3TB BarraCuda ST3000DM001 (SATA3/7200/64M),3000,165760,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/2년
Seagate 12TB BarraCuda Pro ST12000DM0007 (SATA3/7200/256M),12000,650000,HDD (PC용)/8.9cm (3.5형)/12TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께: 26.11mm/헬륨충전/소음(유휴/탐색): 28/32dB/데이터 복구 2년/5년/다층캐싱기술/무게: 최대 705g
Seagate 1TB BarraCuda ST1000DM003 (SATA3/7200/64M),1000,51000,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:20mm/2년
Seagate 2TB BarraCuda ST2000DM001 (SATA3/7200/64M),2000,72250,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/2년
