삼성전자 970 EVO M.2 2280,2000,814140,내장형SSD/M.2 (2280)/PCIe3.0x4 (32GT/s)/NVMe 1.3/TLC(기타)/3D낸드/삼성 Phoenix/LPDDR4/512MB/최대 3,400MB/s/최대 1,500MB/s/1,500,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/DEVSLP 지원/2.38mm/최대 8g/5년/전용 소프트웨어/구매전 병행수입 전환판매 여부 반드시 확인요망
Western Digital WD Green SSD,120,24200,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/최대 545MB/s/1,000,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/최대 32.5g/3년/전용 소프트웨어 
Western Digital WD Green SSD,240,42300,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/최대 545MB/s/1,000,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/최대 32.5g/3년/전용 소프트웨어 
Western Digital WD Green SSD,480,85200,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/최대 545MB/s/1,000,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/최대 32.5g/3년/전용 소프트웨어 
타무즈 RX460,120,23300,장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(토글)/마벨 88NV1120/최대 530MB/s/최대 400MB/s/1,500,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/SLC 캐싱/7mm/48g/3년 
타무즈 RX460,240,41700,장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(토글)/마벨 88NV1120/최대 530MB/s/최대 400MB/s/1,500,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/SLC 캐싱/7mm/48g/3년 
Western Digital WD Blue 3D SSD,250,56000,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/마벨/최대 550MB/s/최대 525MB/s/1,750,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/37.4g/5년/전용 소프트웨어/2018년 3월부로 A/S기간이 변경되었습니다 
Western Digital WD Blue 3D SSD,500,102600,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/마벨/최대 550MB/s/최대 525MB/s/1,750,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/37.4g/5년/전용 소프트웨어/2018년 3월부로 A/S기간이 변경되었습니다 
Western Digital WD Blue 3D SSD,1000,235800,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/마벨/최대 550MB/s/최대 525MB/s/1,750,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/37.4g/5년/전용 소프트웨어/2018년 3월부로 A/S기간이 변경되었습니다 
Western Digital WD Blue 3D SSD,2000,514900,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/마벨/최대 550MB/s/최대 525MB/s/1,750,000시간/TRIM 지원/S.M.A.R.T 지원/7mm/37.4g/5년/전용 소프트웨어/2018년 3월부로 A/S기간이 변경되었습니다 
마이크론 Crucial MX500 아스크텍,250,59400,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/7mm/5년/전용 소프트웨어 
마이크론 Crucial MX500 아스크텍,500,96400,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/7mm/5년/전용 소프트웨어 
마이크론 Crucial MX500 아스크텍,1000,213300,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/7mm/5년/전용 소프트웨어 
