GeIL DDR4 16G PC4-19200 CL17 SUPER LUCE RGB Sync TUF (8Gx2),16,194000,DDR4/PC용/2ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/메모리 타이밍 : 17-17-17-39
GeIL DDR4 16G PC4-19200 CL17 PRISTINE,16,131900,DDR4/PC용/1ea/미포함/Dimm/16GB/2,400MHz/1.20V/메모리 타이밍 : 17-17-17-39
GeIL DDR4 16G PC4-24000 CL16 SUPER LUCE RGB Sync 블랙 AMD Edition (8Gx2),16,208000,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/메모리 타이밍 : 16-18-18-36
GeIL DDR4 16G PC4-25600 CL16 SUPER LUCE RGB Lite 화이트 (8Gx2),16,216400,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/LED 라이트/메모리 타이밍 : 16-18-18-36
GeIL DDR4 8G PC4-21300 CL16 SUPER LUCE RGB Sync 화이트,8,100000,DDR4/PC용/1ea/포함/Dimm/8GB/2,666MHz/1.35V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 16-18-18-36
GeIL DDR4 8G PC4-19200 CL17 EVO-X 화이트 GREY RGB,8,94200,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/RGB LED/메모리 타이밍 : 17-17-17-39
GeIL DDR4 8G PC4-19200 CL17 EVO-X 블랙 RGB,8,91800,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/RGB LED/메모리 타이밍 : 17-17-17-39
GeIL DDR4 16G PC4-25600 CL16 EVO-X 블랙 RGB (8Gx2),16,218900,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/RGB LED/메모리 타이밍 : 16-18-18-36
GeIL DDR4 16G PC4-19200 CL17 EVO-X 블랙 RGB,16,178500,DDR4/PC용/1ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/RGB LED/메모리 타이밍 : 17-17-17-39
GeIL DDR4 16G PC4-25600 CL16 SUPER LUCE RGB Sync 화이트 (8Gx2),16,221800,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 16-18-18-36
GeIL DDR4 16G PC4-21300 CL19 SUPER LUCE RGB Sync 화이트 AMD Edition (8Gx2),16,196500,DDR4/PC용/2ea/포함/Dimm/16GB/2,666MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/메모리 타이밍 : 19-19-19-43
GeIL DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Lite 블랙,8,88700,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/LED 라이트/메모리 타이밍 : 17-17-17-39
TeamGroup T-Force DDR4 16G PC4-19200 CL15 Delta RGB (8Gx2),16,178990,DDR4/PC용/2ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/메모리 타이밍 : 15-17-17-35
TeamGroup T-Force DDR4 16G PC4-21300 CL15 Delta RGB 화이트 (8Gx2),16,193000,DDR4/PC용/2ea/포함/Dimm/16GB/2,666MHz/1.20V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 15-17-17-35
TeamGroup DDR4 16G PC4-19200 New Elite Plus Black Gold,16,136000,DDR4/PC용/1ea/포함/Dimm/16GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 8G PC4-19200 New Elite Plus Black Gold,8,66000,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 16G PC4-21300 New Elite Plus Black Gold,16,164150,DDR4/PC용/1ea/포함/Dimm/16GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-43
