ASUS TUF Z370-PRO GAMING iBORA,1151v2,178000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트
ASUS ROG STRIX B360-F GAMING iBORA,1151v2,144100,인텔(소켓1151v2)/(인텔) B360/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI,DP/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 2:후면 3개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/AURA SYNC
ASUS PRIME H370M-PLUS 코잇,1151v2,132000,인텔(소켓1151v2)/(인텔) H370/M-ATX (24.4x24.4cm)/전원부: 6페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:4개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 3개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready
ASUS PRIME Z370-P 코잇,1151v2,164300,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x22.6cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:6개/SATA3:4개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/기가비트 LAN/UEFI
ASUS PRIME X299-A 코잇,2066,417000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:2개/8ch/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC
MSI Z370 크레이트 게이밍,1151v2,176000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/전원부: 11페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/7.1ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/MYSTIC LIGHT
ASUS TUF B450-PLUS GAMING iBORA,AM4,140800,AMD(소켓AM4)/(AMD) B450/ATX (30.5x24.4cm)/전원부: 6페이즈/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:5개/SATA3:6개/M.2 슬롯:1개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 3개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready/AMD APU 지원/LED 라이트/LED 헤더/AURA SYNC
ASUS TUF B360M-PLUS GAMING iBORA,1151v2,110600,인텔(소켓1151v2)/(인텔) B360/M-ATX (24.4x23.1cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/PCIe 슬롯:3개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 1개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC
ASUS TUF Z370-PLUS GAMING 코잇,1151v2,169000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/AURA SYNC
ASUS ROG STRIX X399-E GAMING iBORA,TR4,442400,AMD(소켓TR4)/(AMD) X399/E-ATX (30.5x26.9cm)/DDR4/메모리 용량:최대 128GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/U.2:1개/8ch/USB 3.1 Gen 1:후면 8개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/무선 LAN/블루투스/UEFI/LED 라이트/LED 헤더/AURA SYNC
MSI X370 게이밍 M7 ACK,AM4,333900,AMD(소켓AM4)/(AMD) X370/ATX (30.4x24.3cm)/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU: CrossFire,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/U.2:1개/7.1ch/PS/2:콤보 1개/USB 2.0:후면 3개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/무선 LAN/블루투스/UEFI/VR Ready/AMD APU 지원/LED 라이트/LED 헤더/MYSTIC LIGHT
GIGABYTE X399 AORUS Gaming 7 제이씨현,TR4,494810,AMD(소켓TR4)/(AMD) X399/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/XMP/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:3개/8ch/PS/2:콤보 1개/USB 3.1 Gen 1:후면 8개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/무선 LAN/블루투스/UEFI/VR Ready/LED 라이트/LED 헤더
GIGABYTE GA-AX370-Gaming 게이밍에디션 제이씨현,AM4,129000,AMD(소켓AM4)/(AMD) X370/일반-ATX (30.5 x 24.4cm)/전원부: 7페이즈/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:5개/SATA3:8개/M.2 슬롯:1개/8ch/그래픽 출력:HDMI/PS/2:콤보 1개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready/LED 라이트
